Add Canonical URL Meta Header,Add Canonical URL Meta Header
Add Trailing Slash,Add Trailing Slash
Can be either a full action name or a request path. Wildcard allowed<br/><b>Examples</b>:<br/>review_product_*<br/>review/product/*<br/>rss_*<br/>rss/*,Can be either a full action name or a request path. Wildcard allowed<br/><b>Examples</b>:<br/>review_product_*<br/>review/product/*<br/>rss_*<br/>rss/*
Canonical URL,Canonical URL
Canonical URL Meta Header will not be added for these pages,Canonical URL Meta Header will not be added for these pages
Checkout Pages,Checkout Pages
Contact Us Page,Contact Us Page
Customer Account Pages,Customer Account Pages
For use with <b>Use categories path for product URLs</b> setting<br/><b>Use Default</b> will use categories path related to the current categories path for product URL<br/><b>Use Longest</b> will use the longest categories path for product URL<br/><b>Use Shortest</b> will use the shortest categories path for product URL,For use with <b>Use categories path for product URLs</b> setting<br/><b>Use Default</b> will use categories path related to the current categories path for product URL<br/><b>Use Longest</b> will use the longest categories path for product URL<br/><b>Use Shortest</b> will use the shortest categories path for product URL
Ignore Pages,Ignore Pages
MageWorx &gt; SEO Suite,MageWorx &gt; SEO Suite
"NOINDEX, FOLLOW Robots Meta Header For Additional Pages","NOINDEX, FOLLOW Robots Meta Header For Additional Pages"
"NOINDEX, FOLLOW Robots Meta Header For Pages Without Content","NOINDEX, FOLLOW Robots Meta Header For Pages Without Content"
Product Canonical URL,Product Canonical URL
Product Compare Pages,Product Compare Pages
Product Review Pages,Product Review Pages
Product Short Meta Description,Product Short Meta Description
Robots,Robots
RSS Feeds,RSS Feeds
Search Pages,Search Pages
Send Product Pages,Send Product Pages
SEO Suite,SEO Suite
Tag Pages,Tag Pages
Use Config,Use Config
Use product short description for Description Meta Tag instead of full description,Use product short description for Description Meta Tag instead of full description
Wishlist Pages,Wishlist Pages
