"Home","Home"
"Show category products","Show category products"
"Sub Categories","Sub Categories"
"Global Settings","Global Settings"
"Skin","Skin"
"Drop Down","Drop Down"
"Show Left Column","Show Left Column"
"Show Middle Column","Show Middle Column"
"Show Right Column","Show Right Column"
"Middle Column Content","Middle Column Content"
"Middle Column Static Block Identifier","Middle Column Static Block Identifier"
"Shown if the 'Middle Column Content' option is Static Block","Shown if the 'Middle Column Content' option is Static Block"
"Main Bar","Main Bar"
"Show Home Link","Show Home Link"
"Depth","Depth"
"Nb Categories per Columns","Nb Categories per Columns"
"Thumbnail","Thumbnail"
"Show Thumbnail","Show Thumbnail"
"Category Thumbnail if Magento version >= 1.5, Category Image for previous version","Category Thumbnail if Magento version >= 1.5, Category Image for previous version"
"Thumbnail Position","Thumbnail Position"
"Thumbnail Order","Thumbnail Order"
"Thumbnail Width","Thumbnail Width"
"In pixel","In pixel"
"Thumbnail Height","Thumbnail Height"
"In pixel. 0 for height auto","In pixel. 0 for height auto"
"Category Link","Category Link"
"Show Category Link","Show Category Link"
"Category Link Position","Category Link Position"
"Category Link Order","Category Link Order"
"Category Description","Category Description"
"Show Description","Show Description"
"Description Position","Description Position"
"Description Order","Description Order"
"Static Blocks","Static Blocks"
"Show Static Block 1","Show Static Block 1"
"Static Block 1 Position","Static Block 1 Position"
"Static Block 1 Order","Static Block 1 Order"
"Static Block 1 Identifier","Static Block 1 Identifier"
"Show Static Block 2","Show Static Block 2"
"Static Block 2 Position","Static Block 2 Position"
"Static Block 2 Order","Static Block 2 Order"
"Static Block 2 Identifier","Static Block 2 Identifier"
"Show Static Block 3","Show Static Block 3"
"Static Block 3 Position","Static Block 3 Position"
"Static Block 3 Order","Static Block 3 Order"
"Static Block 3 Identifier","Static Block 3 Identifier"
"Static Block","Static Block"
"Default","Default"
"Clean","Clean"
"Before Categories","Before Categories"
"After Categories","After Categories"
"level","level"
"levels","levels"
"Left Column","Left Column"
"Middle Column","Middle Column"
"Right Column","Right Column"
"CMS Link 1 Identifier","CMS Link 1 Identifier"
"CMS Link 1 Position","CMS Link 1 Position"
"CMS Link 1 Order","CMS Link 1 Order"
"CMS Link 2 Identifier","CMS Link 2 Identifier"
"CMS Link 2 Position","CMS Link 2 Position"
"CMS Link 2 Order","CMS Link 2 Order"
"CMS Link 3 Identifier","CMS Link 3 Identifier"
"CMS Link 3 Position","CMS Link 3 Position"
"CMS Link 3 Order","CMS Link 3 Order"
"Custom Link 1 URL","Custom Link 1 URL"
"Custom Link 1 Title","Custom Link 1 Title"
"Custom Link 1 Position","Custom Link 1 Position"
"Custom Link 1 Order","Custom Link 1 Order"
"Custom Link 2 URL","Custom Link 2 URL"
"Custom Link 2 Title","Custom Link 2 Title"
"Custom Link 2 Position","Custom Link 2 Position"
"Custom Link 2 Order","Custom Link 2 Order"
"Custom Link 3 URL","Custom Link 3 URL"
"Custom Link 3 Title","Custom Link 3 Title"
"Custom Link 3 Position","Custom Link 3 Position"
"Custom Link 3 Order","Custom Link 3 Order"
"Clickable Category Link","Clickable Category Link"
"You can add the category name with {{category_name}} to your label. Ex: Show {{category_name}} products.","You can add the category name with {{category_name}} to your label. Ex: Show {{category_name}} products."
"Flat","Flat"
"Nested","Nested"
"In milliseconds.","En milliseconds."
"Time delay before display","Délai d'attente avant l'affichage"
"Display Effect","Display Effect"
